{'corrected_tags': 'B-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429936610.0	['28', 'tourists', 'hyderabad', '30', 'guntur', 'safe']
1429936612.0	['cousin', 'sent', 'pictures', 'entire', 'bhaktpur', 'durbar', 'square']
1429936643.0	['tribhuvan', 'airport', 'currently', 'closed', 'due', 'airspace', 'deserted', 'via']
1429936670.0	['felt', 'kathmandu', 'earthquake', 'dengboche', 'really', 'strong', 'one', 'wall', 'ceiling', 'collapsed', 'guesthouse', 'nobody', 'got', 'injured']
1429936678.0	['person', 'finder']
{'corrected_tags': 'I-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429936808.0	['unspeakable', 'tragedy', 'pictures', 'dharahara', 'tower', 'kathmandu']
1429936876.0	['deep', 'kumar', 'upadhyay', 'nepal', 'ambassador', 'india', 'says', 'airport', 'open']
1429936886.0	['friend', 'nepal', 'name', 'daisy', 'rana', 'please', 'help', 'contact', 'trying', 'getting', 'signal', 'please']
1429936920.0	['3novices', 'nepal', 'quake', 'flights', 'kathmandu', 'put', 'hold', 'budget', 'carrier', 'spicejet', 'indigo', 'also', 'decided']
1429936927.0	['tribhuvan', 'int', 'arprt', 'closed', 'operations', 'flights', 'diverted', 'run', 'way', 'safe', 'condition']
{'corrected_tags': 'B-shelter', 'event_type': 'shelter', 'event_id': 1, 'doc': 'NepalEQ'}
1429936964.0	['pakistan', 'expresses', 'solidarity', 'earthquake', 'victims', 'nepal', 'amp', 'india', 'fo', 'says', 'ndma', 'ready', 'dispatch', 'relief', 'goods', 'short', 'notice', 'cnbc']
1429937000.0	['gujarat', 'tourist', 'stranded', 'nepal', 'relative', 'contact', 'help', 'control', 'room', 'guj', 'govt', 'gnagar', '079', '23251900', '902', '907', '908', '914', '918']
{'corrected_tags': 'B-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429937185.0	['launched', 'google', 'person', 'finder', 'ht']
1429937214.0	['ktm', 'durbar', 'square', 'structures', 'left', 'rubble']
1429937263.0	['kathmandu', 'airport', 'reopened', 'huge', 'plane', 'land']
{'corrected_tags': 'B-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429937463.0	['strong', 'earthquake', 'hits', 'capital', 'reports', 'houses', 'damaged']
1429937500.0	['google', 'launches', 'person', 'finder', 'service', 'track', 'missing', 'persons']
1429937512.0	['google', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons']
1429937512.0	['google', 'person', 'finder', 'link', 'india']
